院校,专业名,类别,选科要求,计划数
浙江大学,智能体育工程,理工类,物理、化学,15
浙江大学,医学试验班(竺可桢学院巴德年医学班),医学类,物理、化学,10
浙江大学,临床医学(5+3一体化),医学类,物理、化学,10
浙江大学,"临床医学(儿科方向,5+3一体化)",医学类,物理、化学,10
浙江大学,口腔医学(5+3一体化),医学类,物理、化学,5
浙江大学,临床医学,医学类,物理、化学,10
浙江大学,生物医学(中外合作办学),医学类,物理、化学,40
浙江大学,生物信息学(中外合作办学),医学类,物理、化学,20
浙江大学,预防医学,医学类,物理、化学,20
浙江大学,药学,医学类,物理、化学,30
浙江大学,农业资源与环境,农学类,物理、化学,15
浙江大学,农学,农学类,物理、化学,8
浙江大学,茶学,农学类,物理、化学,8
浙江大学,植物保护,农学类,物理、化学,8
浙江大学,园林,农学类,物理、化学,15
浙江大学,园艺,农学类,物理、化学,8
浙江大学,动物科学,农学类,物理、化学,12
浙江大学,动物医学,农学类,物理、化学,10
浙江大学,农业工程,农学类,物理、化学,11
浙江大学,食品科学与工程,农学类,物理、化学,10
浙江大学,古典文献学,人文社科类,,10
浙江大学,会计学(智能财务荣誉项目班),人文社科类,,8
浙江大学,工商管理,人文社科类,,8
浙江大学,政治学与行政学,人文社科类,政治,18
浙江大学,社会学,人文社科类,,15
浙江大学,行政管理,人文社科类,,6
浙江大学,农林经济管理,人文社科类,,6
浙江大学,劳动与社会保障,人文社科类,,6
浙江大学,土地资源管理,人文社科类,,6
浙江大学,教育学,人文社科类,,24
浙江大学,国际经济与贸易,人文社科类,,10
浙江大学,金融学(竺可桢学院人文社科实验班),人文社科类,,5
中国科学院大学,数学与应用数学,理工类,物理、化学,0
中国科学院大学,物理学,理工类,物理、化学,0
中国科学院大学,化学,理工类,物理、化学,0
中国科学院大学,天文学,理工类,物理、化学,0
中国科学院大学,人文地理与城乡规划,理工类,物理、化学,0
中国科学院大学,生物科学,理工类,物理、化学,0
中国科学院大学,心理学,理工类,物理、化学,0
中国科学院大学,理论与应用力学,理工类,物理、化学,0
中国科学院大学,网络空间安全,理工类,物理、化学,0
中国科学院大学,材料科学与工程,理工类,物理、化学,0
中国科学院大学,电气工程及其自动化,理工类,物理、化学,0
中国科学院大学,电子信息工程,理工类,物理、化学,0
中国科学院大学,人工智能,理工类,物理、化学,0
中国科学院大学,计算机科学与技术,理工类,物理、化学,0
中国科学院大学,环境科学,理工类,物理、化学,0
西湖大学,生物科学（入学后统一录取，后期分流选定专业）,理工类,物理、化学,15
宁波东方理工大学,计算机科学与技术(第一学年末可选：人工智能、电子科学与技术(集成电路)、智能制造工程、数理基础科学、化学、材料科学与工程、生物医学工程、大数据管理与应用),工学,物理、化学,80
上海纽约大学,入学时不分专业（最迟大二结束前选择）,,,0
昆山杜克大学,材料科学与工程,,,0
昆山杜克大学,数学与应用数学,,,0
昆山杜克大学,生物科学,,,0
昆山杜克大学,化学,,,0
昆山杜克大学,全球健康学,,,0
昆山杜克大学,环境科学,,,0
昆山杜克大学,国际事务与国际关系,,,0
昆山杜克大学,历史学,,,0
昆山杜克大学,数据科学与大数据技术,,,0
昆山杜克大学,经济学,,,0
昆山杜克大学,数字媒体艺术,,,0
昆山杜克大学,英语,,,0
昆山杜克大学,心理学,,,0
昆山杜克大学,计算机科学与技术,,,0
北京外国语大学,梵语巴利语,外国语言文学类,,1
北京外国语大学,立陶宛语（欧洲研究）,外国语言文学类,,1
北京外国语大学,捷克语,外国语言文学类,,1
北京外国语大学,荷兰语（欧洲研究）,外国语言文学类,,1
北京外国语大学,缅甸语（东南亚研究）,外国语言文学类,,1
上海科技大学,物理学,物理学类,物理、化学,2
上海科技大学,化学,化学类,物理、化学,0
上海科技大学,材料科学与工程,材料类,物理、化学,2
上海科技大学,生物科学,生物科学类,物理、化学,2
上海科技大学,生物技术,生物科学类,物理、化学,2
上海科技大学,生物医学工程,生物医学工程类,物理、化学,2
上海科技大学,电子信息工程,电子信息类,物理、化学,3
上海科技大学,计算机科学与技术,计算机类,物理、化学,3
上海科技大学,数学与应用数学,数学类,物理、化学,2
上海科技大学,管理科学,管理科学与工程类,物理、化学,2
上海科技大学,工业设计,机械类,物理、化学,2
上海科技大学,外国语言与外国历史,外国语言与外国历史类,物理、化学,0
南方科技大学,物理学（大类，入学不分专业）,物理学类,物理、化学,54
南方科技大学,生物医学科学（中外合作办学，伦敦国王学院医学院）,基础医学类,物理、化学,3
南方科技大学,生物医学工程（中外合作办学，伦敦国王学院医学院）,生物医学工程类,物理、化学,3
华南理工大学,机器人工程,工学,物理、化学,0
华南理工大学,智能制造工程,工学,物理、化学,0
华南理工大学,微电子科学与工程,工学,物理、化学,0
华南理工大学,集成电路设计与集成系统,工学,物理、化学,0
华南理工大学,人工智能,工学,物理、化学,0
华南理工大学,数据科学与大数据技术,工学,物理、化学,0
华南理工大学,生物医学工程,生物医学工程类,物理、化学,0
华南理工大学,软物质科学与工程,工学,物理、化学,0
香港中文大学（深圳）,理科试验班,试验班,物理、化学,158
香港中文大学（深圳）,经济管理试验班,试验班,,80
香港中文大学（深圳）,人文科学试验班,试验班,,22
深圳北理莫斯科大学,经济学（双学籍）,经济学类,,2
深圳北理莫斯科大学,俄语（双学籍）,外国语言文学类,,2
深圳北理莫斯科大学,生物科学（俄语教学，双学籍）,生物科学类,物理、化学,2
深圳北理莫斯科大学,金融科技（单学籍）,金融学类,物理,2
深圳北理莫斯科大学,国际经济与贸易（单学籍）,经济与贸易类,,2
深圳北理莫斯科大学,电子与计算机工程（单学籍）,计算机类,物理、化学,2
深圳北理莫斯科大学,智能感知工程（单学籍）,仪器类,物理、化学,2
