院校,专业名,类别,选科要求,计划数
浙江工商大学,社会工作,Ⅱ类,,4
浙江工商大学,哲学,Ⅱ类,,4
浙江工商大学,汉语言文学,Ⅱ类,,4
浙江工商大学,法语,Ⅱ类,,10
浙江工商大学,阿拉伯语,Ⅱ类,,10
浙江工商大学,日语,Ⅱ类,,25
浙江工商大学,历史学,Ⅱ类,,4
浙江工商大学,电子信息类,Ⅲ类,物理、化学,15
浙江工商大学,计算机类,Ⅲ类,物理、化学,15
浙江工商大学,环境科学与工程类,Ⅲ类,物理、化学,30
浙江工商大学,食品科学与工程类,Ⅲ类,物理、化学,30
浙江工商大学,数学与应用数学,Ⅲ类,物理、化学,10
浙江工商大学,给排水科学与工程,Ⅲ类,物理、化学,5
浙江工商大学,生物工程,Ⅲ类,物理、化学,10
浙江工商大学,信息管理与信息系统,Ⅲ类,物理,10
浙江工商大学,电子信息工程(中外合作办学),Ⅲ类,物理、化学,10
浙江工商大学,通信工程(中外合作办学),Ⅲ类,物理、化学,10
浙江理工大学,纺织类(纺织工程、非织造材料与工程),理工类一,物理、化学,30
浙江理工大学,轻化工程,理工类一,物理、化学,20
浙江理工大学,服装设计与工程,理工类一,物理,25
浙江理工大学,丝绸设计与工程,理工类一,,20
浙江理工大学,生物科学类(生物技术、生物制药),理工类一,物理、化学,30
浙江理工大学,材料类(材料科学与工程、高分子材料与工程),理工类一,物理、化学,30
浙江理工大学,应用化学,理工类一,物理、化学,20
浙江理工大学,数学类(数学与应用数学、信息与计算科学),理工类二,物理、化学,30
浙江理工大学,应用物理学,理工类二,物理、化学,20
浙江理工大学,土木类(土木工程、建筑环境与能源应用工程、工程管理),理工类二,物理、化学,30
浙江理工大学,建筑学,理工类二,,15
浙江理工大学,机械类(机械设计制造及其自动化、机械电子工程、智能制造工程),理工类二,物理、化学,25
浙江理工大学,工业设计,理工类二,物理、化学,25
浙江理工大学,自动化,理工类二,物理、化学,10
浙江理工大学,经济与贸易类(经济学、金融学、国际经济与贸易),经管人文类,,15
浙江理工大学,工商管理类(会计学、工商管理、人力资源管理),经管人文类,,15
浙江理工大学,外国语言文学类(英语、日语),经管人文类,,20
浙江理工大学,新闻传播学类(传播学、汉语言文学),经管人文类,,10
浙江理工大学,行政管理,经管人文类,,10
温州医科大学,眼视光医学(5+3一体化),临床医学类,物理、化学,10
温州医科大学,临床医学(5+3一体化),临床医学类,物理、化学,10
温州医科大学,"临床医学(5+3一体化,儿科学方向)",临床医学类,物理、化学,5
温州医科大学,临床医学,临床医学类,物理、化学,60
温州医科大学,眼视光医学,临床医学类,物理、化学,5
温州医科大学,口腔医学,临床医学类,物理、化学,5
温州医科大学,麻醉学,临床医学类,物理、化学,5
温州医科大学,医学影像学,临床医学类,物理、化学,5
温州医科大学,放射医学,临床医学类,物理、化学,5
温州医科大学,精神医学,临床医学类,物理、化学,5
温州医科大学,药学,医学相关类,物理、化学,15
温州医科大学,生物制药,医学相关类,物理、化学,5
温州医科大学,临床药学,医学相关类,物理、化学,10
温州医科大学,康复治疗学,医学相关类,物理、化学,10
温州医科大学,生物技术,医学相关类,物理、化学,10
温州医科大学,生物医学工程,医学相关类,物理、化学,10
温州医科大学,医学检验技术,医学相关类,物理、化学,15
温州医科大学,医学影像技术,医学相关类,物理、化学,10
浙江海洋大学,海洋科学,非师范类,物理、化学,10
浙江海洋大学,水产养殖学,非师范类,物理、化学,10
浙江海洋大学,船舶与海洋工程,非师范类,物理、化学,15
浙江海洋大学,数学与应用数学(师范),师范类,物理、化学,15
浙江海洋大学,物理学(师范),师范类,物理、化学,10
浙江海洋大学,历史学(师范),师范类,历史,10
浙江海洋大学,小学教育(师范),师范类,,30
浙江海洋大学,英语(师范),师范类,,10
浙江农林大学,农学,A类,物理、化学,5
浙江农林大学,植物保护,A类,物理、化学,5
浙江农林大学,林学,A类,物理、化学,10
浙江农林大学,生物技术,A类,物理、化学,10
浙江农林大学,生态学,A类,物理、化学,5
浙江农林大学,农业资源与环境,A类,物理、化学,5
浙江农林大学,环境科学与工程,A类,物理、化学,5
浙江农林大学,测绘工程,A类,物理、化学,10
浙江农林大学,木材科学与工程,A类,物理、化学,10
浙江农林大学,家具设计与工程,A类,物理、化学,10
浙江农林大学,应用化学,A类,物理、化学,10
